Q1209+1046 	 12:11:40.65 	+10:30:02.5
Q1209+1524 	 12:12:32.05 	+15:07:25.4
Q1211+143 	 12:14:17.60 	+14:03:12.5
Q1212+1551 	 12:14:52.60 	+15:34:55.0
Q1212+1045 	 12:15:01.61 	+10:28:38.6
Q1212+0854 	 12:15:08.05 	+08:38:16.2
Q1213+1015 	 12:15:38.91 	+09:58:45.8
Q1213+0922 	 12:15:39.65 	+09:06:08.0
Q1215+1244 	 12:18:10.00 	+12:28:16.0
Q1215+1202 	 12:18:15.55 	+11:45:52.5
Q1215+303 	 12:17:52.08 	+30:07:00.6
Q1216+069 	 12:19:20.88 	+06:38:38.4
Q1216+1517 	 12:18:33.71 	+15:01:06.7
Q1216+1754 	 12:18:46.63 	+17:38:17.6
Q1216+1656 	 12:19:20.40 	+16:39:30.4
Q1216+0947 	 12:19:26.68 	+09:31:02.9
Q1217+023 	 12:20:11.88 	+02:03:42.2
Q1218+304 	 12:21:21.94 	+30:10:37.1
Q1219+755 	 12:21:44.12 	+75:18:38.2
Q1219+1140 	 12:21:42.72 	+11:24:12.6
Q1222+228 	 12:25:27.39 	+22:35:12.5
Q1222+1053 	 12:25:00.20 	+10:36:56.6
Q1223+1059 	 12:25:40.58 	+10:42:40.8
Q1223+1723 	 12:26:30.06 	+17:06:42.2
Q1224+1244 	 12:27:13.20 	+12:28:03.0
Q1225+1512 	 12:28:22.20 	+14:55:54.0
Q1225+1610 	 12:28:28.99 	+15:54:23.1
Q1225+317 	 12:28:24.97 	+31:28:37.6
Q1226+1035 	 12:28:36.79 	+10:18:41.7
Q1226+1115 	 12:28:58.04 	+10:58:54.9
Q1226+1639 	 12:29:09.60 	+16:22:38.0
Q1226+023 	 12:29:06.69 	+02:03:08.6
Q1227+1215 	 12:29:55.05 	+11:59:09.3
Q1228+1808 	 12:30:56.98 	+17:51:38.5
Q1228+077 	 12:31:20.62 	+07:25:52.8
Q1229+1414 	 12:31:46.82 	+13:57:28.1
Q1229+1531 	 12:31:50.40 	+15:14:47.0
Q1229-021 	 12:32:00.01 	-02:24:04.7
Q1229+204 	 12:32:03.60 	+20:09:29.2
Q1230+1042 	 12:32:39.33 	+10:26:03.6
Q1230+1318 	 12:32:54.50 	+13:02:07.0
Q1230+1627B 	 12:33:10.42 	+16:10:53.0
Q1230+0941 	 12:33:29.71 	+09:25:17.0
Q1232-0051 	 12:35:10.57 	-01:07:46.7
Q1232+1139 	 12:34:56.47 	+11:23:16.0
Q1234+0122 	 12:37:24.51 	+01:06:15.4
Q1235+1807A 	 12:37:46.30 	+17:50:55.0
Q1236-0043 	 12:38:56.10 	-00:59:30.8
Q1236-0207 	 12:39:28.00 	-02:23:31.0
Q1237+1515 	 12:40:03.70 	+14:59:06.0
Q1237+0107 	 12:40:10.76 	+00:51:29.4
Q1237+1508 	 12:40:09.85 	+14:51:42.5
Q1237+1212 	 12:40:21.00 	+11:55:40.0
Q1239+1435 	 12:42:06.10 	+14:19:20.7
Q1239+0249 	 12:42:20.08 	+02:32:57.6
Q1240+1504 	 12:43:12.91 	+14:48:12.8
Q1241+176 	 12:44:10.82 	+17:21:04.5
Q1241+176 	 12:44:10.82 	+17:21:04.5
Q1242+0213 	 12:45:16.46 	+01:56:41.1
Q1242+0006 	 12:45:24.60 	-00:09:38.1
Q1242+1732 	 12:45:23.70 	+17:16:14.0
Q1242+1737 	 12:45:26.80 	+17:20:51.0
Q1244+1129 	 12:46:40.39 	+11:13:02.4
Q1244+1642 	 12:46:47.10 	+16:26:13.0
Q1246-0059 	 12:48:40.00 	-01:15:37.0
Q1246+0032 	 12:48:59.66 	+00:15:45.5
Q1247+267 	 12:50:05.75 	+26:31:07.7
Q1248+401 	 12:50:48.32 	+39:51:39.4
Q1248+401 	 12:50:48.32 	+39:51:39.4
Q1253-055 	 12:56:11.17 	-05:47:21.5
Q1259+593 	 13:01:12.90 	+59:02:06.4
Q1302-102 	 13:05:33.01 	-10:33:19.4
Q1307+085 	 13:09:47.03 	+08:19:49.3
Q1308+326 	 13:10:28.66 	+32:20:43.8
Q1308-0214 	 13:11:14.90 	-02:30:45.5
Q1308-0104 	 13:11:19.26 	-01:20:30.9
Q1309+355 	 13:12:17.74 	+35:15:21.3
BRJ1310-1740 	 13:10:26.62 	-17:40:28.5
Q1312+043 	 13:14:46.70 	+04:06:09.8
Q1313+0107 	 13:16:30.46 	+00:51:25.5
PSSJ1317+3531 	 13:17:43.20 	+35:31:32.0
