5080.3850 	1000    good	NeI 150   
5080.390    	1000    good	Ne
5080.62  	1000    good	XeII 1000 
5087.085 	1000    good	Ar I
5090.495  	1000    good	ArII 20
5090.496  	1000    good	Ar II
5104.74  	1000    good	Ar I
5113.6726 	1000    good	NeI 75   
5116.500    	1000    good	Ne
5116.5030 	1000    good	NeI 150   
5118.206 	1000    good	Ar I
5122.2566 	1000    good	NeI 150   
5122.3511 	1000    good	NeI 150   
5122.42  	1000    good	XeII 300 
5125.70  	1000    good	XeII 100 
5125.765 	1000    good	Ar II
5141.783  	1000    good	ArII 100
5141.790 	1000    good	Ar II (20)
5144.9374 	1000    good	NeI 500   
5145.0322 	1000    good	NeI 500   
5145.308  	1000    good	ArII 70
5145.308 	1000    good	Ar II
5151.394 	1000    good	Ar I
5151.9619 	1000    good	NeI 75   
5154.4264 	1000    good	NeI 50   
5156.6672 	1000    good	NeI 50   
5158.9016 	1000    good	NeI 50   
5162.286 	1000    good	Ar I
5165.773  	1000    good	ArII 25
5165.774 	1000    good	Ar II
5176.2292	1000    good
5177.540 	1000    good	Ar I
5178.82  	1000    good	XeII 100 
5187.746  	1000    good	ArI 20
5187.7462	1000    good
5188.04  	1000    good	XeII 300 
5188.6126 	1000    good	NeI 150   
5191.37  	1000    good	XeII 400 
5192.10  	1000    good	XeII 100 
5193.1252 	1000    good	NeI 150   
5193.2223 	1000    good	NeI 150   
5203.8956 	1000    good	NeI 150   
5208.0700 	1000    good	ArI
5208.8638 	1000    good	NeI 70   
5210.492 	1000    good	Ar I
5210.5682 	1000    good	NeI 50   
5214.774 	1000    good	Ar I
5216.8139	1000    good
5216.814  	1000    good	ArII 20
5218.2020	1000    good
5221.273  	1000    good	Ar I  (500)
5222.3518 	1000    good	NeI 50   
5222.90   	1000    good	Ar I  (20)
5234.0273 	1000    good	NeI 50   
5239.0   	1000    good	XeIII 60 
5241.0927 	1000    good	ArI
5252.789  	1000    good	Ar I  (300)
5254.471  	1000    good	Ar I  (60)
5260.44  	1000    good	XeII 500 
5261.95  	1000    good	XeII 500 
5264.783 	1000    good	Ar II
5269.4256 	1000    good	Ar II
5280.40  	1000    good	Ar I
5283.43  	1000    good	Ar I
5286.071 	1000    good	Ar I  (60)
5286.895 	1000    good	Ar II (15)
5290.00  	1000    good	Ar I
5292.22  	1000    good	XeII 2000 
5292.517 	1000    good	Cu I
5298.1895 	1000    good	NeI 150   
5304.7572 	1000    good	NeI 70   
5305.690 	1000    good	Ar II
5309.27  	1000    good	XeII 300 
5309.517 	1000    good	Ar I
5313.87  	1000    good	XeII 1000 
5317.726 	1000    good	Ar I
5326.3964 	1000    good	NeI 75   
5327.917 	1000    good	CuII
5329.698 	1000    good	Ar II
5330.7774 	1000    good	NeI 600   
5330.780    	1000    good	Ne
5333.3071 	1000    good	NeI 50   
5339.33  	1000    good	XeII 2000 
5341.090    	1000    good	Ne
5341.0936 	1000    good	NeI 1000   
5343.2838 	1000    good	NeI 600   
5345.81  	1000    good	Ar I
5347.412 	1000    good	Ar I
5349.2025 	1000    good	NeI 150   
5354.05  	1000    good	Hg
5355.1627 	1000    good	NeI 150   
