-----------------------------------------------
Spec.  | Wavelength |  Rel. | gk | Aki       
       |   Vacuum   |  Int. |    | (10^8s-1) 
       |    (A)     |       |    |           
-----------------------------------------------
Xe II  |   6912.13  |    80 | _  |           
Xe I   |   6927.44  |   100 | _  |           
Xe II  |   6944.02  |  800w | _  |           
Xe I   |   6978.10  |   100 | _  |           
Xe II  |   6992.81  |  2000 | 8  | 2.7e-01   
       |            |       |    |           
Xe II  |   7084.10  |   150 | _  |           
Xe I   |   7121.56  |   500 | 9  | 6.6e-02   
Xe II  |   7149.47  |   50s | _  |           
Xe II  |   7151.00  |   200 | _  |           
Xe II  |   7166.80  |   500 | _  |           
       |            |       |    |           
Xe II  |   7286.35  |   100 | _  |           
Xe II  |   7303.81  |   200 | _  |           
Xe II  |   7341.32  |   200 | _  |           
Xe I   |   7388.03  |   100 | _  |           
Xe I   |   7395.83  |   150 | _  |           
       |            |       |    |           
Xe II  |   7550.53  |   300 | _  |           
Xe I   |   7586.77  |   200 | _  |           
Xe II  |   7620.67  |    80 | _  |           
Xe I   |   7644.12  |   500 | _  |           
Xe I   |   7646.01  |   100 | _  |           
       |            |       |    |           
Xe II  |   7672.77  |   200 | _  |           
Xe II  |   7789.18  |    60 | _  |           
Xe I   |   7804.80  |   100 | _  |           
Xe I   |   7883.49  |   100 | _  |           
Xe I   |   7889.57  |   300 | _  |           
       |            |       |    |           
Xe I   |   7969.53  |   500 | 3  | 3.0e-03   
Xe I   |   8031.88  |   100 | _  |           
Xe I   |   8059.48  |   200 | _  |           
Xe I   |   8063.56  |   150 | _  |           
Xe I   |   8104.21  |   100 | _  |           
       |            |       |    |           
Xe II  |   8154.04  |  150w | _  |           
Xe I   |   8173.27  |   100 | _  |           
Xe I   |   8208.60  |   700 | _  |           
Xe I   |   8233.898 | 10000 | _  |           
Xe I   |   8268.79  |   500 | _  |           
       |            |       |    |           
Xe I   |   8282.392 |  7000 | _  |           
Xe I   |   8349.11  |  2000 | _  |           
Xe II  |   8349.53  |   100 | _  |           
Xe I   |   8411.50  |  2000 | 3  | 1.0e-02   
Xe II  |   8517.53  |   50w | _  |           
       |            |       |    |           
Xe I   |   8578.37  |   200 | _  |           
Xe II  |   8606.59  |   50w | _  |           
Xe I   |   8650.92  |   250 | _  |           
Xe I   |   8694.59  |   100 | _  |           
Xe I   |   8699.25  |   200 | _  |           
       |            |       |    |           
Xe II  |   8718.58  |   50w | _  |           
Xe I   |   8741.79  |   300 | _  |           
Xe I   |   8760.61  |   100 | _  |           
Xe I   |   8821.83  |  5000 | _  |           
Xe I   |   8864.75  |   300 | _  |           
       |            |       |    |           
Xe I   |   8911.18  |   200 | _  |           
Xe I   |   8933.28  |   200 | _  |           
Xe I   |   8954.71  |  1000 | _  |           
Xe I   |   8983.52  |   100 | _  |           
Xe I   |   8990.04  |   200 | _  |           
       |            |       |    |           
Xe I   |   9047.93  |   400 | _  |           
Xe I   |   9165.16  |   500 | _  |           
Xe I   |   9170.04  |   100 | _  |           
