-------------------------------------------------------
Spec.   | Wavelength |  Rel. | gk | Aki       | Acc  
        |   Vacuum   |  Int. |    | (10^8s-1) |      
        |    (A)     |       |    |           |      
-------------------------------------------------------
Ar II   |   4906.121 |    20 | 8  | 3.7e-02   | B+   
Ar I    |   4922.408 |       | 7  | 5.9e-04   | E    
Ar II   |   4934.586 |    35 | 4  | 1.44e-01  | A-   
Ar II   |   4937.463 |       | 6  | 7e-03     | C+   
Ar I    |   4939.098 |       | 5  | 3.6e-04   | E    
        |            |       |    |           |      
Ar II   |   4954.305 |       | 2  | 6e-03     | D    
Ar I    |   4958.133 |       | 9  | 1.8e-03   | E    
Ar II   |   4966.465 |   200 | 4  | 3.94e-01  | A    
Ar II   |   4973.547 |       | 2  | 9.7e-02   | B+   
Ar I    |   4991.335 |       | 7  | 1.1e-03   | E    
        |            |       |    |           |      
Ar II   |   5010.731 |    50 | 6  | 1.51e-01  | B    
Ar II   |   5018.562 |    70 | 6  | 2.07e-01  | B    
Ar II   |   5019.033 |       | 4  | 1.1e-02   | B-   
Ar I    |   5033.427 |       | 5  | 8.2e-04   | E    
Ar I    |   5050.219 |       | 5  | 4.6e-03   | D    
        |            |       |    |           |      
Ar I    |   5055.585 |       | 3  | 4.5e-03   | D    
Ar I    |   5057.938 |       | 1  | 5.7e-03   | D    
Ar I    |   5061.490 |       | 9  | 3.7e-03   | E    
Ar II   |   5063.448 |    70 | 4  | 2.23e-01  | B    
Ar I    |   5072.391 |       | 3  | 2.6e-03   | E    
        |            |       |    |           |      
Ar I    |   5074.490 |       | 5  | 5.9e-04   | D    
Ar I    |   5079.448 |       | 7  | 4.7e-04   | E    
Ar I    |   5088.502 |       | 7  | 1.6e-03   | E    
Ar II   |   5091.914 |    20 | _  |           |      
Ar I    |   5106.152 |       | 5  | 8.7e-04   | E    
        |            |       |    |           |      
Ar I    |   5119.629 |       | 7  | 2.7e-03   | D+   
Ar I    |   5129.229 |       | 5  | 3.3e-04   | D    
Ar II   |   5143.215 |   100 | 8  | 8.1e-02   | A    
Ar II   |   5146.741 |    70 | 6  | 1.06e-01  | B    
Ar I    |   5152.826 |     5 | 1  | 2.39e-02  | C    
        |            |       |    |           |      
Ar I    |   5153.738 |       | 5  | 1.1e-03   | D    
Ar I    |   5163.722 |    15 | 3  | 1.90e-02  | C    
Ar II   |   5167.212 |    25 | _  |           |      
Ar II   |   5177.671 |       | 6  | 1.7e-02   | B    
Ar I    |   5178.978 |       | 5  | 2.4e-03   | D    
        |            |       |    |           |      
Ar I    |   5189.191 |    20 | 5  | 1.38e-02  | C    
Ar III  |   5193.262 |       | 1  | 3.10e-08  | C    
Ar I    |   5194.179 |       | 7  | 1.2e-04   | D-   
Ar I    |   5195.499 |       | 1  | 7.8e-03   | D    
Ar I    |   5211.937 |       | 7  | 1.1e-03   | D-   
        |            |       |    |           |      
