-------------------------------------------------------
Spec.   | Wavelength |  Rel. | gk | Aki       | Acc  
        |   Vacuum   |  Int. |    | (10^8s-1) |      
        |    (A)     |       |    |           |      
-------------------------------------------------------
Ne II   |  3454.057  |       | 4  | 4.6e-01   | D    
Ne I    |  3455.1845 |  4100 | 1  | 3.7e-02   | C    
Ne II   |  3455.763  |       | 4  | 1.6e+00   | D    
        |            |       |    |           |      
Ne II   |  3457.599  |   100 | 4  | 9.6e-01   | D    
Ne II   |  3458.075  |       | 6  | 9.9e-02   | D    
Ne II   |  3460.312  |   100 | 6  | 1.6e+00   | D    
Ne I    |  3461.5156 |  1700 | 3  |           |      
Ne II   |  3464.221  |       | 4  | 2.8e-02   | D    
        |            |       |    |           |      
Ne I    |  3465.3309 |  2400 | 5  |           |      
Ne I    |  3467.5715 |  2900 | 3  |           |      
Ne I    |  3473.5654 |  7500 | 7  | 1.7e-02   | C    
Ne II   |  3476.237  |       | 4  | 1.2e-02   | D    
Ne II   |  3478.643  |       | 6  | 4.3e-01   | D-   
        |            |       |    |           |      
Ne II   |  3480.515  |   150 | 2  | 1.6e+00   | D    
Ne II   |  3481.727  |   200 | 4  | 1.6e+00   | D    
Ne II   |  3482.930  |   200 | 2  | 1.4e+00   | D    
Ne I    |  3499.0649 |  1800 | 5  |           |      
Ne I    |  3502.2180 |  2700 | 3  | 1.2e-02   | D    
        |            |       |    |           |      
Ne II   |  3504.582  |       | 2  | 2.0e+00   | D    
Ne I    |  3511.7253 |   540 | 3  | 2.2e-03   | D    
Ne I    |  3516.1960 |  2600 | 5  | 6.9e-03   | D    
Ne I    |  3521.4783 | 17000 | 1  | 9.3e-02   | C    
Ne II   |  3523.731  |       | 2  | 2.3e-02   | D    
        |            |       |    |           |      
Ne II   |  3538.987  |       | 2  | 7.6e-01   | D    
Ne II   |  3539.288  |       | 4  | 9.0e-03   | D    
Ne II   |  3540.908  |       | 4  | 3.6e-02   | D    
Ne II   |  3543.253  |       | 4  | 6.0e-01   | D    
Ne II   |  3543.857  |   120 | 6  | 1.2e+00   | D    
        |            |       |    |           |      
Ne II   |  3545.159  |       | 6  | 3.7e-03   | D    
Ne II   |  3547.225  |       | 4  | 6.3e-02   | D    
Ne II   |  3552.572  |       | 4  | 3.7e-02   | D    
Ne II   |  3555.374  |       | 8  | 1.3e-02   | D    
Ne II   |  3558.819  |   120 | 2  | 1.9e-01   | D    
        |            |       |    |           |      
Ne II   |  3562.218  |   100 | 6  | 2.1e-01   | D    
Ne I    |  3563.9717 |    14 | 3  |           |      
Ne II   |  3566.844  |       | 4  | 6.2e-01   | D    
Ne II   |  3569.519  |   250 | 8  | 1.4e+00   | D    
Ne II   |  3572.250  |       | 4  | 6.3e-01   | D-   
        |            |       |    |           |      
Ne II   |  3575.203  |   100 | 6  | 1.0e-01   | D    
Ne II   |  3575.254  |       | 2  | 4.6e-02   | D    
Ne II   |  3575.632  |   200 | 6  | 1.3e+00   | D    
Ne II   |  3591.474  |       | 6  | 3.6e-02   | D-   
Ne I    |  3594.5516 |  4100 | 5  | 9.9e-03   | D    
        |            |       |    |           |      
Ne I    |  3594.6651 |  2100 | 3  | 6.6e-03   | D    
Ne II   |  3595.185  |       | 2  | 1.3e+00   | D    
Ne I    |  3601.1963 |  1200 | 3  | 4.3e-03   | D    
Ne I    |  3610.2085 |   140 | 3  |           |      
Ne II   |  3613.356  |       | 4  | 2.6e-01   | D    
        |            |       |    |           |      
Ne II   |  3629.070  |       | 4  | 6.0e-01   | D    
Ne II   |  3633.716  |       | 4  | 1.3e-01   | D    
Ne I    |  3634.7004 |  1600 | 1  | 1.1e-02   | D    
Ne II   |  3644.966  |   150 | 4  | 3.2e-01   | D    
Ne II   |  3645.897  |       | 4  | 9.9e-01   | D    
        |            |       |    |           |      
Ne II   |  3660.936  |       | 6  | 6.7e-02   | D-   
Ne II   |  3665.117  |   200 | 4  | 7.0e-01   | D    
Ne II   |  3680.863  |       | 2  | 3.2e-01   | D    
Ne I    |  3683.2909 |   640 | 5  | 1.6e-03   | D    
