# This standard spectrum was made by Joe Hennawi by combining the
# Massey P., Strobel K., Barnes J.V., Anderson E. Astrophys. J. 328, 315 (1988)
# measurements with the Hamuy standards on the ESO webpage, i.e. 
# (Hamuy et al., PASP, 104, 533, 1992); 
#the second to wavelengths from 6000 to 10500A (Hamuy et al., PASP, 
# 106, 566, 1994). 
#http://www.eso.org/sci/observing/tools/standards/spectra/hamuystandards.html
# Note that the Massey data were presented in the Hayes-Latham system 
# system which I converted assuming they were AB mags. This probably 
# results in a small shift, but it matches on very well to the Hamuy data. 
#      LAM            FLAM (1d-16)
      4154.89       4082.2676
      4156.97       4104.5580
      4159.05       4146.0230
      4161.13       4187.9083
      4163.22       4195.2984
      4165.30       4164.1734
      4167.38       4133.2805
      4169.46       4110.1833
      4171.54       4094.7516
      4173.62       4090.6679
      4175.70       4113.0242
      4177.79       4135.5034
      4179.87       4158.1072
      4181.95       4161.6281
      4184.03       4142.2009
      4186.11       4115.2795
      4188.19       4084.7667
      4190.27       4065.7043
      4192.35       4054.1947
      4194.44       4061.3791
      4196.52       4083.5942
      4198.60       4090.8361
      4200.68       4086.7827
      4202.76       4090.2626
      4204.84       4089.9783
      4206.92       4089.6983
      4209.01       4078.1366
      4211.09       4089.1419
      4213.17       4077.5851
      4215.25       4043.6537
      4217.33       4024.8086
      4219.41       4024.5418
      4221.49       4027.9908
      4223.58       4035.1528
      4225.66       4038.6143
      4227.74       4027.2111
      4229.82       4015.8444
      4231.90       4008.2042
      4233.98       4007.9519
      4236.06       4004.0141
      4238.15       3989.0444
      4240.23       3992.4795
      4242.31       4014.3609
      4244.39       4025.2263
      4246.47       4006.4945
      4248.55       3973.1856
      4250.63       3951.0574
      4252.71       3958.1131
      4254.80       3976.1531
      4256.88       3983.2573
      4258.96       3964.7322
      4261.04       3920.9319
      4263.12       3881.1942
      4265.20       3866.7070
      4267.28       3873.6260
      4269.37       3905.6543
      4271.45       3919.8601
      4273.53       3937.7452
      4275.61       3941.1646
      4277.69       3944.5898
      4279.77       3958.9440
      4281.85       3966.0400
      4283.94       3969.4925
      4286.02       3965.6380
      4288.10       3954.4990
      4290.18       3936.1322
      4292.26       3907.0446
      4294.34       3860.3555
      4296.42       3835.3637
      4298.50       3842.2530
      4300.59       3870.4856
      4302.67       3873.8705
      4304.75       3852.3439
      4306.83       3830.9377
      4308.91       3827.2373
      4310.99       3841.1924
      4313.07       3851.6484
      4315.16       3840.8522
      4317.24       3808.9832
      4319.32       3780.8580
      4321.40       3766.7944
      4323.48       3745.8774
      4325.56       3701.1396
      4327.64       3646.8502
      4329.73       3580.1415
      4331.81       3485.6391
      4333.89       3362.5254
      4335.97       3211.0581
      4338.05       3027.1331
      4340.13       2866.9162
      4342.21       2806.7153
      4344.29       2861.4248
      4346.38       3029.4664
      4348.46       3228.1236
      4350.54       3402.0036
      4352.62       3529.5477
      4354.70       3601.6721
      4356.78       3644.9287
      4358.86       3671.7583
      4360.95       3688.5810
      4363.03       3698.6658
      4365.11       3705.3609
      4367.19       3715.4959
      4369.27       3725.6561
      4371.35       3732.4084
      4373.43       3725.4231
      4375.52       3718.4518
      4377.60       3725.1970
      4379.68       3725.0873
      4381.76       3687.4291
      4383.84       3613.3604
      4385.92       3540.7805
      4388.00       3495.3178
      4390.08       3504.8956
      4392.17       3553.5569
      4394.25       3609.5384
      4396.33       3669.7825
      4398.41       3727.6011
      4400.49       3758.5324
      4402.57       3782.7503
      4404.65       3810.6319
      4406.74       3824.6068
      4408.82       3817.4771
      4410.90       3803.3535
      4412.98       3771.8713
      4415.06       3716.6111
      4417.14       3665.5389
      4419.22       3668.8381
      4421.31       3685.6978
      4423.39       3689.0194
      4425.47       3678.7674
      4427.55       3648.3272
      4429.63       3618.1437
      4431.71       3604.7709
      4433.79       3608.0274
      4435.87       3621.2808
      4437.96       3611.2267
      4440.04       3601.2029
      4442.12       3601.1423
      4444.20       3631.0601
      4446.28       3667.9792
      4448.36       3688.2495
      4450.44       3684.8004
      4452.53       3688.1437
      4454.61       3701.7060
      4456.69       3708.4833
      4458.77       3705.0215
      4460.85       3691.3501
      4462.93       3654.0965
      4465.01       3577.4638
      4467.10       3476.7235
      4469.18       3366.4010
      4471.26       3274.6227
      4473.34       3265.5562
      4475.42       3320.1147
      4477.50       3394.2907
      4479.58       3460.5534
      4481.66       3515.1340
      4483.75       3567.2918
      4485.83       3606.9140
      4487.91       3620.1996
      4489.99       3596.9129
      4492.07       3563.9164
      4494.15       3554.0633
      4496.23       3570.4492
      4498.32       3600.1528
      4500.40       3606.7765
      4502.48       3613.4112
      4504.56       3606.7509
      4506.64       3590.1665
      4508.72       3600.0940
      4510.80       3630.0536
      4512.88       3640.0916
      4514.97       3626.7002
      4517.05       3623.3582
      4519.13       3606.7109
      4521.21       3600.0719
      4523.29       3603.3905
      4525.37       3613.3668
      4527.45       3586.8451
      4529.54       3557.2405
      4531.62       3540.9059
      4533.70       3557.2577
      4535.78       3603.4364
      4537.86       3610.0933
      4539.94       3596.8306
      4542.02       3586.9224
      4544.11       3580.3368
      4546.19       3560.6234
      4548.27       3547.5492
      4550.35       3547.5714
      4552.43       3537.8066
      4554.51       3521.5763
      4556.59       3521.6000
      4558.67       3521.6288
      4560.76       3511.9403
      4562.84       3492.6151
      4564.92       3479.8024
      4567.00       3470.2330
      4569.08       3460.6925
      4571.16       3457.5414
      4573.24       3476.7379
      4575.33       3483.1846
      4577.41       3483.2257
      4579.49       3483.2677
      4581.57       3480.1041
      4583.65       3470.5426
      4585.73       3467.3933
      4587.81       3464.2479
      4589.90       3461.1064
      4591.98       3451.6065
      4594.06       3426.3177
      4596.14       3398.0863
      4598.22       3385.6425
      4600.30       3382.5795
      4602.38       3391.9938
      4604.46       3398.3054
      4606.55       3376.5222
      4608.63       3357.9766
      4610.71       3364.2258
      4612.79       3386.0492
      4614.87       3414.2991
      4616.95       3430.1231
      4619.03       3436.5163
      4621.12       3430.2589
      4623.20       3417.7165
      4625.28       3405.2187
      4627.36       3386.5239
      4629.44       3364.8344
      4631.52       3337.1305
      4633.60       3312.7062
      4635.69       3303.6418
      4637.77       3294.6028
      4639.85       3306.8387
      4641.93       3334.4454
      4644.01       3334.5278
      4646.09       3331.5406
      4648.17       3322.4327
      4650.25       3316.4020
      4652.34       3322.6038
      4654.42       3350.3502
      4656.50       3365.9034
      4658.58       3369.0970
      4660.66       3369.1913
      4662.74       3381.7216
      4664.82       3388.0516
      4666.91       3385.0298
      4668.99       3372.6826
      4671.07       3357.2844
      4673.15       3351.2079
      4675.23       3342.0637
      4677.31       3329.8754
      4679.39       3333.0473
      4681.48       3348.5368
      4683.56       3348.6453
      4685.64       3339.5137
      4687.72       3336.5493
      4689.80       3324.3890
      4691.88       3303.1370
      4693.96       3282.0199
      4696.04       3267.0534
      4698.13       3267.1687
      4700.21       3279.3404
      4702.29       3291.5614
      4704.37       3297.7500
      4706.45       3276.6771
      4708.53       3258.7389
      4710.61       3228.9807
      4712.70       3196.5535
      4714.78       3179.0574
      4716.86       3187.9753
      4718.94       3214.6362
      4721.02       3232.5767
      4723.10       3232.7054
      4725.18       3223.9115
      4727.27       3215.1459
      4729.35       3209.3607
      4731.43       3218.3716
      4733.51       3221.4708
      4735.59       3233.4964
      4737.67       3248.5578
      4739.75       3245.7050
      4741.83       3219.0514
      4743.92       3201.4500
      4746.00       3201.5912
      4748.08       3204.6818
      4750.16       3207.7776
      4752.24       3187.3041
      4754.32       3166.9654
      4756.40       3164.1947
      4758.49       3176.0198
      4760.57       3182.0245
      4762.65       3182.1718
      4764.73       3173.5411
      4766.81       3159.1115
      4768.89       3153.4475
      4770.97       3162.3245
      4773.06       3159.5675
      4775.14       3139.4179
      4777.22       3122.2711
      4779.30       3105.2186
      4781.38       3099.6610
      4783.46       3114.1250
      4785.54       3137.3148
      4787.62       3149.0561
      4789.71       3143.4254
      4791.79       3134.9127
      4793.87       3114.9306
      4795.95       3100.7841
      4798.03       3100.9475
      4800.11       3106.8327
      4802.19       3106.9986
      4804.28       3107.1686
      4806.36       3104.4785
      4808.44       3113.2389
      4810.52       3133.5503
      4812.60       3139.5042
      4814.68       3122.3778
      4816.76       3108.2090
      4818.85       3108.3842
      4820.93       3114.2948
      4823.01       3103.0212
      4825.09       3086.0992
      4827.17       3072.1004
      4829.25       3058.1665
      4831.33       3044.2936
      4833.41       3036.0754
      4835.50       3036.2585
      4837.58       3030.8520
      4839.66       3042.2242
      4841.74       3025.6430
      4843.82       2998.0881
      4845.90       2968.0501
      4847.98       2938.3134
      4850.07       2900.8517
      4852.15       2853.3349
      4854.23       2770.6404
      4856.31       2633.9523
      4858.39       2483.3377
      4860.47       2322.0070
      4862.55       2223.7804
      4864.64       2230.0779
      4866.72       2348.2731
      4868.80       2514.0685
      4870.88       2652.1974
      4872.96       2749.3802
      4875.04       2808.4321
      4877.12       2842.4518
      4879.20       2866.3066
      4881.29       2874.4322
      4883.37       2893.2234
      4885.45       2896.0880
      4887.53       2904.3012
      4889.61       2915.2242
      4891.69       2945.1151
      4893.77       2956.1932
      4895.86       2970.0473
      4897.94       2975.7350
      4900.02       2978.6892
      4902.10       2981.6472
      4904.18       2990.1143
      4906.26       2984.8267
      4908.34       2976.8074
      4910.43       2974.2842
      4912.51       2974.5043
      4914.59       2963.7838
      4916.67       2928.7256
      4918.75       2857.0057
      4920.83       2797.3286
      4922.91       2764.2428
      4924.99       2774.6554
      4927.08       2818.6572
      4929.16       2884.5329
      4931.24       2932.9778
      4933.32       2960.3433
      4935.40       2974.2372
      4937.48       2979.9531
      4939.56       2977.4428
      4941.65       2977.6774
      4943.73       2975.1703
      4945.81       2964.4640
      4947.89       2953.7967
      4949.97       2948.5975
      4952.05       2951.5512
      4954.13       2949.0715
      4956.22       2952.0274
      4958.30       2952.2687
      4960.38       2949.7915
      4962.46       2944.6036
      4964.54       2942.1350
      4966.62       2945.0891
      4968.70       2948.0477
      4970.78       2956.4529
      4972.87       2956.6989
      4974.95       2946.0735
      4977.03       2919.3105
      4979.11       2911.5029
      4981.19       2930.5852
      4983.27       2949.7908
      4985.35       2947.3288
      4987.44       2923.2517
      4989.52       2907.3931
      4991.60       2899.6234
