# This standard spectrum was made by Joe Hennawi by combining the
# http://www.ing.iac.es/Astronomy/observing/manuals/html_manuals/tech_notes/tn065-100/w1346a.oke spectrum which extends to 10640
# with the higher resolution spectrum on NAOJ website
# http://www.naoj.org/Observing/Instruments/FOCAS/Detail/UsersGuide/Observing/StandardStar/Spec/PLOTDATA/data/wolf1346.dat
# both of these files were in AB magnitudes. 
#      LAM            FLAM (1d-16)
      4825.10       1097.0012
      4827.19       1081.0173
      4829.27       1069.1970
      4831.35       1053.6190
      4833.43       1026.8550
      4835.52       998.93056
      4837.60       971.76488
      4839.68       958.48977
      4841.76       939.32059
      4843.84       915.46182
      4845.93       885.65987
      4848.01       852.10615
      4850.09       812.30816
      4852.17       781.53403
      4854.26       755.39736
      4856.34       728.79091
      4858.42       705.71668
      4860.50       699.93625
      4862.59       705.15780
      4864.67       713.04068
      4866.75       721.01242
      4868.83       741.94390
      4870.91       773.39231
      4873.00       804.68982
      4875.08       841.11875
      4877.16       865.53904
      4879.24       889.84739
      4881.33       911.47580
      4883.41       926.77575
      4885.49       936.27726
      4887.57       951.99419
      4889.65       964.41540
      4891.74       974.30361
      4893.82       981.57844
      4895.90       999.89744
      4897.98       1027.0369
      4900.07       1045.2414
      4902.15       1053.0474
      4904.23       1057.9836
      4906.31       1064.9036
      4908.40       1062.0422
      4910.48       1074.9132
      4912.56       1085.9385
      4914.64       1091.0306
      4916.72       1096.1470
      4918.81       1101.2889
      4920.89       1108.4942
      4922.97       1122.9646
      4925.05       1143.9280
      4927.14       1147.1807
      4929.22       1148.3250
      4931.30       1149.4706
      4933.38       1152.7393
      4935.46       1158.1498
      4937.55       1172.1909
      4939.63       1174.4427
      4941.71       1163.7665
      4943.79       1143.6682
      4945.88       1133.2726
      4947.96       1131.2760
      4950.04       1131.3665
      4952.12       1133.5423
      4954.21       1121.1733
      4956.29       1121.2640
      4958.37       1130.6879
      4960.45       1147.5671
      4962.53       1142.3882
      4964.62       1157.3083
      4966.70       1169.1895
      4968.78       1174.6838
      4970.86       1165.0833
      4972.95       1167.3289
      4975.03       1172.8150
      4977.11       1175.0764
      4979.19       1164.4019
      4981.27       1151.7012
      4983.36       1149.6792
      4985.44       1155.0851
      4987.52       1173.4138
