 $#  Uses Murphy approved list for HIRESb 
4436.283559 1   Th
4437.444892 1   Th
4439.123394 1   Th
4439.461496 1   Ar
4440.573767 1   Th
4440.866037 1   Th
4443.085922 1   Th
4447.229655 1   Th
4447.834068 1   Th
4448.879769 1   Ar
4449.520160 1   Ar
4451.050772 1   Th
4451.740841 1   Th
4452.565919 1   Th
4454.139273 1   Th
4454.515415 1   Th
4454.773868 1   Ca
4458.001577 1   Th
4460.557349 1   Ar
4465.340307 1   Th
4468.320958 1   Th
4469.189256 1   Th
4469.525401 1   Th
4470.990465 1   Th
4474.073418 1   Th
4475.221486 1   Th
4476.493374 1   XX
4477.467605 1   XX
4478.595578 1   Th
4479.637221 1   Th
4482.169703 1   Th
4483.347289 1   Th
4486.897614 1   Th
4487.495789 1   Th
4488.311951 1   Th
4488.679208 1   Th
4490.982155 1   Ar
4494.690823 1   Th
4494.962173 1   Th
4495.236832 1   Th
4496.310967 1   Th
4498.539067 1   Ar
4499.983224 1   Th
4502.927116 1   Ar
4504.630538 1   Th
4505.216342 1   Th
4513.222627 1   Th
4513.679940 1   Th
4515.118228 1   Th
4515.627500 1   Th
4519.259216 1   Th
4524.128670 1   Th
4524.838426 1   Th
4525.090255 1   Th
4526.027843 1   Th
4527.177005 1   XX
4528.410040 1   Th
4528.974416 1   Th
4530.319024 1   Th
4530.552330 1   Ar
4531.713294 1   Th
4532.257632 1   Th
4533.304041 1   Th
4534.119077 1   Th
4535.254374 1   Th
4535.979533 1   Th
4537.642250 1   Ar
4540.998918 1   Th
4544.513519 1   Th
4547.759159 1   Ar
4548.979758 1   Th
4549.834344 1   Th
4556.387047 1   XX
4556.807521 1   XX
4558.345945 1   Th
4559.312010 1   Th
4560.394230 1   Th
4561.012595 1   Ar
4562.080492 1   Th
4564.405822 1   Ar
4564.835313 1   Th
4566.650292 1   Th
4567.239946 1   Th
4568.142371 1   Th
4570.972161 1   Th
4571.218853 1   Th
4571.957776 1   Th
4572.892195 1   XX
4573.703117 1   Th
4574.027011 1   Th
4574.305291 1   Th
4579.827278 1   Th
4583.654394 1   Th
4584.652635 1   XX
4586.269884 1   Th
4588.426418 1   Th
4592.666430 1   Th
4596.096466 1   Ar
4598.762949 1   Ar
4602.886400 1   Th
4603.143767 1   Th
4604.652617 1   Th
4608.619441 1   Th
4611.244453 1   Ar
4611.859039 1   Th
4613.604010 1   Th
4615.024319 1   Th
4615.334111 1   Th
4616.452497 1   Th
4620.242532 1   Th
4623.890992 1   Th
4625.053142 1   Th
4625.494718 1   Th
4627.298084 1   Th
4628.201884 1   Th
4628.441048 1   Ar
4629.008560 1   Th
4629.769269 1   Th
4630.354049 1   Th
4631.761946 1   Th
4638.125558 1   Th
4638.684582 1   Th
4643.864399 1   XX
4644.707008 1   Th
4647.250193 1   Th
4649.977396 1   Th
4650.234614 1   Th
4651.989384 1   Th
4652.417715 1   Th
4655.212846 1   XX
4656.182882 1   XX
4659.570368 1   Th
