# COL_ERR=0.00000  COL_PHI=0.00000  TNT_ANG=71.0000  TNT_PHI=90.0810
## Alpha-tanx tany | xmask ymask
-0.0905619 -0.8695157 -156.00000  -13.46939
-0.0860813 -0.8695338 -148.57142  -13.46939
-0.0816012 -0.8695502 -141.14285  -13.46939
-0.0771216 -0.8695651 -133.71428  -13.46939
-0.0726423 -0.8695784 -126.28571  -13.46939
-0.0681634 -0.8695901 -118.85714  -13.46939
-0.0636848 -0.8696002 -111.42857  -13.46939
-0.0592066 -0.8696088 -104.00000  -13.46939
-0.0547286 -0.8696158  -96.57143  -13.46939
-0.0502510 -0.8696212  -89.14285  -13.46939
-0.0457736 -0.8696251  -81.71428  -13.46939
-0.0412965 -0.8696274  -74.28571  -13.46939
-0.0368195 -0.8696281  -66.85714  -13.46939
-0.0323428 -0.8696272  -59.42857  -13.46939
-0.0278662 -0.8696248  -52.00000  -13.46939
-0.0233898 -0.8696208  -44.57143  -13.46939
-0.0189135 -0.8696152  -37.14286  -13.46939
-0.0144373 -0.8696081  -29.71428  -13.46939
-0.0099612 -0.8695994  -22.28571  -13.46939
-0.0054852 -0.8695891  -14.85714  -13.46939
-0.0010092 -0.8695773   -7.42857  -13.46939
 0.0034668 -0.8695639    0.00000  -13.46939
 0.0079428 -0.8695489    7.42857  -13.46939
 0.0124189 -0.8695323   14.85714  -13.46939
 0.0168950 -0.8695142   22.28571  -13.46939
 0.0213712 -0.8694945   29.71428  -13.46939
 0.0258475 -0.8694733   37.14286  -13.46939
 0.0303239 -0.8694504   44.57143  -13.46939
 0.0348004 -0.8694260   52.00000  -13.46939
 0.0392772 -0.8694001   59.42857  -13.46939
 0.0437541 -0.8693725   66.85714  -13.46939
 0.0482312 -0.8693434   74.28571  -13.46939
 0.0527086 -0.8693127   81.71428  -13.46939
 0.0571862 -0.8692805   89.14285  -13.46939
 0.0616641 -0.8692467   96.57143  -13.46939
 0.0661423 -0.8692113  104.00000  -13.46939
 0.0706209 -0.8691743  111.42857  -13.46939
 0.0750998 -0.8691357  118.85714  -13.46939
 0.0795790 -0.8690956  126.28571  -13.46939
 0.0840587 -0.8690539  133.71428  -13.46939
 0.0885388 -0.8690106  141.14285  -13.46939
 0.0930193 -0.8689657  148.57142  -13.46939
 0.0975002 -0.8689193  156.00000  -13.46939
 0.1019817 -0.8688712  163.42857  -13.46939
 0.1064636 -0.8688216  170.85714  -13.46939
 0.1109461 -0.8687704  178.28571  -13.46939
 0.1154292 -0.8687177  185.71428  -13.46939
 0.1199127 -0.8686633  193.14285  -13.46939
 0.1243969 -0.8686073  200.57142  -13.46939
 0.1288817 -0.8685498  207.99999  -13.46939
 0.1333672 -0.8684906  215.42857  -13.46939
 0.1378533 -0.8684299  222.85714  -13.46939
 0.1423400 -0.8683676  230.28571  -13.46939
 0.1468275 -0.8683037  237.71428  -13.46939
 0.1513157 -0.8682382  245.14285  -13.46939
 0.1558046 -0.8681710  252.57142  -13.46939
 0.1602943 -0.8681023  259.99999  -13.46939
 0.1647847 -0.8680320  267.42856  -13.46939
 0.1692760 -0.8679601  274.85714  -13.46939
 0.1737681 -0.8678866  282.28571  -13.46939
 0.1782610 -0.8678114  289.71428  -13.46939
 0.1827548 -0.8677347  297.14285  -13.46939
 0.1872495 -0.8676563  304.57142  -13.46939
 0.1917450 -0.8675763  311.99999  -13.46939
 0.1962415 -0.8674947  319.42856  -13.46939
 0.2007390 -0.8674115  326.85713  -13.46939
 0.2052373 -0.8673267  334.28571  -13.46939
 0.2097367 -0.8672403  341.71428  -13.46939
 0.2142371 -0.8671522  349.14285  -13.46939
 0.2187385 -0.8670625  356.57142  -13.46939
 0.2232409 -0.8669711  363.99999  -13.46939
 0.2277444 -0.8668782  371.42856  -13.46939
 0.2322489 -0.8667836  378.85713  -13.46939
 0.2367546 -0.8666873  386.28570  -13.46939
 0.2412613 -0.8665894  393.71427  -13.46939
 0.2457692 -0.8664899  401.14285  -13.46939
 0.2502782 -0.8663887  408.57142  -13.46939
-0.2437312 -0.8715560 -408.57142   -8.97959
-0.2392154 -0.8716275 -401.14285   -8.97959
-0.2347006 -0.8716975 -393.71427   -8.97959
-0.2301870 -0.8717658 -386.28570   -8.97959
-0.2256745 -0.8718325 -378.85713   -8.97959
-0.2211631 -0.8718976 -371.42856   -8.97959
-0.2166527 -0.8719611 -363.99999   -8.97959
-0.2121434 -0.8720230 -356.57142   -8.97959
-0.2076351 -0.8720833 -349.14285   -8.97959
-0.2031278 -0.8721419 -341.71428   -8.97959
-0.1986214 -0.8721990 -334.28571   -8.97959
