# COL_ERR=0.00000  COL_PHI=0.00000  TNT_ANG=71.0000  TNT_PHI=90.0810
## xmask ymask | Alpha-tanx tany
  44.57143   -4.48980  0.0304426 -0.8766103
  52.00000   -4.48980  0.0349347 -0.8765861
  59.42857   -4.48980  0.0394270 -0.8765604
  66.85714   -4.48980  0.0439195 -0.8765331
  74.28571   -4.48980  0.0484123 -0.8765043
  81.71428   -4.48980  0.0529052 -0.8764740
  89.14285   -4.48980  0.0573984 -0.8764421
  96.57143   -4.48980  0.0618920 -0.8764087
 104.00000   -4.48980  0.0663858 -0.8763737
 111.42857   -4.48980  0.0708799 -0.8763372
 118.85714   -4.48980  0.0753744 -0.8762992
 126.28571   -4.48980  0.0798693 -0.8762596
 133.71428   -4.48980  0.0843646 -0.8762185
 141.14285   -4.48980  0.0888603 -0.8761758
 148.57142   -4.48980  0.0933565 -0.8761316
 156.00000   -4.48980  0.0978531 -0.8760859
 163.42857   -4.48980  0.1023502 -0.8760386
 170.85714   -4.48980  0.1068478 -0.8759897
 178.28571   -4.48980  0.1113460 -0.8759393
 185.71428   -4.48980  0.1158447 -0.8758874
 193.14285   -4.48980  0.1203440 -0.8758339
 200.57142   -4.48980  0.1248438 -0.8757788
 207.99999   -4.48980  0.1293444 -0.8757222
 215.42857   -4.48980  0.1338455 -0.8756641
 222.85714   -4.48980  0.1383473 -0.8756044
 230.28571   -4.48980  0.1428498 -0.8755431
 237.71428   -4.48980  0.1473530 -0.8754803
 245.14285   -4.48980  0.1518570 -0.8754159
 252.57142   -4.48980  0.1563616 -0.8753499
 259.99999   -4.48980  0.1608671 -0.8752824
